Rank,Score,"Programming Skills","Driver Skills","Highest Programming Skills","Highest Driver Skills","Highest Programming Score Timestamp","Highest Driver Score Timestamp","Highest Programming Score Stop Time","Highest Driver Score Stop Time","Team Number","Team Name",Organization,"Event Region",Country/Region
28,316,147,169,228,169,"2022-11-26 05:48:57","2022-08-14 01:44:55",0,0,81988D,"Lil Dumpy","上海市虹口区青少年活动中心Shanghai Hongkou District Teenagers Activity Center",China,China
29,314,123,191,132,191,"2022-11-12 22:50:43","2022-12-17 20:50:39",0,0,4154X,"University School Sharks Robotics","NSU UNIVERSITY SCHOOL","Florida - South","United States"
30,313,119,194,119,194,"2022-12-01 12:51:54","2022-12-01 12:56:19",0,0,46131B,"Barker Greybacks","Barker College",Australia,Australia
31,310,130,180,130,180,"2022-12-10 22:03:28","2022-12-10 19:09:47",10,0,98548E,"Explosive Engineers","Bear River High School",Utah,"United States"
32,301,150,151,150,162,"2022-12-01 18:49:15","2022-12-03 17:05:33",0,0,4148E,"Three Headed Goat","Greenville High School","Texas - Region 2","United States"
33,298,134,164,134,184,"2022-10-22 13:56:08","2022-12-17 15:52:15",0,0,48425A,ROBOSheen,"ROBOSheen Robotics","Southern New England","United States"
34,297,126,171,126,187,"2022-11-21 15:53:40","2022-12-02 17:28:10",0,0,2344A,"Bolt Bots","CLEAR SPRINGS HIGH SCHOOL","Texas - Region 3","United States"
35,295,148,147,148,147,"2022-12-17 21:24:54","2022-12-17 19:17:46",0,0,2733J,Jelly,,"Florida - North/Central","United States"
36,294,132,162,132,162,"2022-12-16 17:36:59","2022-12-16 20:06:29",0,0,6210X,"HCS Eagles: Nemesis","Heritage Christian School",Indiana,"United States"
37,293,98,195,134,195,"2022-11-13 00:43:42","2022-12-02 06:30:28",0,0,66655A,Roundabout,"Dr.player Robotic Lab . Caotun","Chinese Taipei",Taiwan
38,292,136,156,136,158,"2022-11-05 16:06:45","2022-12-10 17:57:48",0,0,6408N,Windex,"Heritage Woods Secondary","British Columbia (BC)",Canada
39,291,137,154,137,154,"2022-12-03 20:12:22","2022-12-03 17:55:40",9,0,39Y,Yolt,"CRANBROOK SCHOOLS",Michigan,"United States"
40,290,116,174,116,174,"2022-12-16 14:27:46","2022-12-16 21:24:14",0,0,248D,"RoboDawgs: Differential","Grandville Robotics",Michigan,"United States"
41,288,115,173,130,173,"2022-12-16 18:57:06","2022-12-11 20:19:35",0,0,16888A,Invisible,Independent,Michigan,"United States"
42,287,124,163,124,168,"2022-10-12 22:35:03","2022-12-03 15:07:39",0,0,11124R,"T-Rex Push-Ups","ELYRIA HIGH SCHOOL",Ohio,"United States"
43,285,100,185,100,185,"2022-12-17 15:57:45","2022-12-17 15:42:55",0,0,19589A,"Hope Robotics","Center of Hope",Tennessee,"United States"
44,280,127,153,142,153,"2022-11-20 02:53:33","2022-12-03 00:59:08",0,0,17022A,Pangolin,HappyRobot,"Chinese Taipei",Taiwan
45,279,120,159,120,159,"2022-12-17 19:13:54","2022-12-17 21:50:05",0,0,507D,507D,"OTAY RANCH SENIOR HIGH","California - Region 4","United States"
46,279,117,162,117,162,"2022-12-17 15:19:13","2022-12-17 16:58:09",0,0,343X,Chris,"ST ALBANS SCHOOL","District of Columbia","United States"
47,278,122,156,122,156,"2022-11-12 18:33:47","2022-11-12 19:07:31",0,0,50810E,DeptMicrowaveRepair,"CITY/PEMBROKE PINES CHARTER HIGH SCHOOL","Florida - South","United States"
48,278,119,159,119,162,"2022-12-03 02:02:20","2022-11-13 12:54:27",0,0,58A,"Dream Rover","5D college",Australia,Australia
49,277,134,143,134,152,"2022-11-12 17:56:58","2022-10-29 19:35:08",0,0,580X,Patriots,"Patriot Robotics","Texas - Region 2","United States"
50,277,127,150,127,150,"2022-12-03 15:53:19","2022-12-03 17:38:43",0,0,7686B,Capten,"Tiger Robotics","South Dakota","United States"
51,277,102,175,102,197,"2022-10-21 00:23:45","2022-11-05 14:13:09",0,0,9364C,"IronEagles C=299792458m/s","Brentwood Academy",Tennessee,"United States"
52,276,126,150,126,150,"2022-11-13 19:35:23","2022-11-13 18:21:08",0,0,15442C,"The Misfits","CANYON HIGH","California - Region 4","United States"
53,276,105,171,105,173,"2022-12-03 18:49:42","2022-12-10 20:52:08",0,0,14947F,"Dark Fenix","Fenix+ Robotics",Quebec,Canada
54,269,93,176,102,176,"2022-11-26 06:12:26","2022-08-14 01:44:20",0,0,21021Y,21021Y,"Concordia International School Shanghai",China,China
55,268,149,119,149,123,"2022-12-03 15:17:59","2022-12-17 19:00:19",0,0,7862D,Duckies,"Hesston High School",Kansas,"United States"
56,268,104,164,104,164,"2022-12-10 19:32:36","2022-12-10 17:38:29",0,0,9181R,Revolt,"Seaquam Secondary","British Columbia (BC)",Canada
57,267,77,190,77,190,"2022-12-17 17:29:56","2022-12-16 19:47:35",0,0,2011F,"FaZe Clan","BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL",Ohio,"United States"
58,265,125,140,125,140,"2022-12-17 23:03:26","2022-12-17 22:27:28",0,0,210Z,Eclipse,"Western Mechatronics",Alberta/Saskatchewan,Canada
59,265,103,162,120,162,"2022-11-12 20:17:02","2022-11-18 21:09:09",0,0,7282Z,"AutoFlashes: Zenith","Franklin Central High School",Indiana,"United States"
60,265,81,184,81,184,"2022-12-04 21:16:07","2022-12-04 19:23:36",0,0,2496Y,"BHS Robopatties Y","Arnold O. Beckman High School","California - Region 4","United States"
61,263,98,165,98,173,"2022-10-16 18:56:23","2022-11-19 21:16:34",0,0,6627A,"Knight Time Bots A","FOOTHILL HIGH","California - Region 4","United States"
62,261,79,182,79,182,"2022-12-10 18:49:59","2022-12-10 18:15:37",0,0,2011D,Dopamine,"BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL",Ohio,"United States"
63,259,112,147,112,147,"2022-12-16 21:08:20","2022-12-16 18:45:51",0,0,39K,"Rest in Pieces","CRANBROOK SCHOOLS",Michigan,"United States"
64,251,96,155,96,160,"2022-12-10 17:44:28","2022-12-12 22:41:31",0,0,11124X,"The Butterfly Effect","ELYRIA HIGH SCHOOL",Ohio,"United States"
65,250,118,132,118,132,"2022-12-03 15:21:28","2022-12-03 14:48:33",0,0,5203G,Gremlin,"OLA HIGH SCHOOL",Georgia,"United States"
66,250,84,166,84,166,"2022-11-05 14:33:50","2022-11-19 14:35:02",24,0,1408F,Floppy,"King Henry VIII School","United Kingdom","United Kingdom"
67,249,106,143,106,143,"2022-12-02 17:31:09","2022-12-03 15:42:48",0,0,5150H,"Mad Hatters - Havoc","DANBURY HIGH SCHOOL","Southern New England","United States"
68,249,98,151,98,151,"2022-12-17 18:07:42","2022-12-17 19:37:49",0,0,8301D,"Cougarbots D","SAN YSIDRO HIGH","California - Region 4","United States"
69,248,113,135,113,136,"2022-12-16 23:46:51","2022-11-19 18:00:26",0,0,74100X,"Great Grandson of Jank","CONCORDIA JR/SR HIGH SCHOOL",Nebraska,"United States"
70,248,110,138,110,141,"2022-11-19 00:04:04","2022-11-12 17:12:32",0,0,6842G,"Ghost Code","PARK TUDOR SCHOOL",Indiana,"United States"
71,248,79,169,79,169,"2022-12-17 16:13:17","2022-12-17 18:44:05",49,0,5408D,"Sachse Dynamo","SACHSE HIGH SCHOOL","Texas - Region 2","United States"
72,247,110,137,110,137,"2022-11-12 23:45:37","2022-11-13 00:21:58",0,0,72711P,Σ^3,"Webb Students","California - Region 4","United States"
73,246,114,132,114,144,"2022-11-19 19:49:51","2022-10-29 17:16:14",0,0,392X,SpeedZappers,SpeedZappers,"California - Region 2","United States"
74,246,113,133,113,137,"2022-11-12 17:41:19","2022-12-03 14:51:54",2,0,8926W,Wigglebots,"YNOT Robotics","South Carolina","United States"
75,245,108,137,108,137,"2022-12-03 16:45:48","2022-12-03 21:28:32",0,0,151T,"Basement Dwellers","Basement Robotics","Texas - Region 4","United States"
76,244,89,155,89,155,"2022-12-17 17:39:14","2022-12-16 20:36:17",26,0,2011E,Ember,"BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL",Ohio,"United States"
77,244,74,170,74,170,"2022-12-17 22:49:52","2022-12-17 19:23:19",42,0,569C,"NightHawk Robotics Club","MURRIETA VALLEY HIGH","California - Region 4","United States"
78,243,67,176,67,176,"2022-12-16 22:22:52","2022-12-16 19:01:49",35,0,248E,"RoboDawgs: On ICE!!!","Grandville Robotics",Michigan,"United States"
79,242,79,163,85,166,"2022-10-08 14:17:15","2022-12-10 17:04:27",0,0,36905X,"Cyber Nuts Robotics","Cyber Nuts Robotics",Missouri,"United States"
80,242,78,164,78,164,"2022-11-19 16:59:42","2022-11-19 17:24:09",0,0,2011A,Asymmetrical,"BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL",Ohio,"United States"
81,241,102,139,102,139,"2022-11-19 20:10:46","2022-11-19 17:24:21",0,0,8675W,Wuzzy,NRAI,Nebraska,"United States"
82,240,75,165,86,165,"2022-12-01 16:45:16","2022-12-10 17:10:34",38,0,1082C,"Le Fishee","LOVEJOY HIGH SCHOOL","Texas - Region 2","United States"
83,240,76,164,86,164,"2022-12-01 23:45:12","2022-12-10 22:15:48",0,0,42700X,42700X,42700,Hawaii,"United States"
84,240,83,157,83,157,"2022-12-02 08:54:44","2022-12-02 05:48:22",38,0,4253H,"Raid Zero H","Taipei American School","Chinese Taipei",Taiwan
85,238,76,162,82,162,"2022-11-12 17:06:43","2022-10-29 18:21:30",0,0,64811A,OverHeat,"ELYT ROBOTICS",Ohio,"United States"
86,237,118,119,118,119,"2022-12-10 15:33:12","2022-12-10 18:22:20",20,0,5956B,Bangarang,"Timber Creek High School","Florida - North/Central","United States"
87,237,112,125,112,140,"2022-11-19 21:56:38","2022-10-29 19:46:54",0,0,315Y,Paradigm,Paradigm,"California - Region 2","United States"
88,237,91,146,91,155,"2022-12-04 19:50:40","2022-11-13 00:09:53",15,0,330Z,G1,G1,"California - Region 4","United States"
89,236,109,127,109,127,"2022-11-19 19:12:28","2022-11-19 20:54:23",0,0,6030J,Jesters,"Arizona College Prep - Erie",Arizona,"United States"
90,236,70,166,70,166,"2022-12-10 16:02:50","2022-12-10 15:19:54",51,0,3796H,"Lotso Gears","J. L. MANN HIGH ACADEMY","South Carolina","United States"
91,235,79,156,79,156,"2022-08-14 03:13:46","2022-08-14 04:05:34",0,0,8223A,"BJ NO.80八十中学 A","Beijing NO.80 High School",China,China
92,233,114,119,128,119,"2022-10-29 22:17:26","2022-11-19 18:45:34",6,0,315V,Paradigm,,"California - Region 2","United States"
93,232,96,136,96,138,"2022-12-07 09:49:04","2022-12-21 11:47:47",0,0,1737K,Ürei,"International Robotics Academy",Kazakhstan,Kazakhstan
94,231,94,137,94,137,"2022-12-10 14:59:24","2022-12-10 16:28:02",0,0,3142P,"Zip Ties and Duct Tape","Paideia School",Georgia,"United States"
95,230,88,142,88,146,"2022-11-12 14:03:39","2022-11-19 17:00:18",0,0,5155E,"Cereal Killers","CROSS COUNTY HIGH SCHOOL",Nebraska,"United States"
96,230,76,154,84,154,"2022-12-02 22:36:46","2022-12-18 16:54:50",0,0,7405R,"Millburn Riptide","Millburn High School","New Jersey","United States"
97,228,87,141,87,164,"2022-11-19 23:52:47","2022-11-12 22:18:24",0,0,315S,Paradigm,Paradigm,"California - Region 2","United States"
98,227,107,120,107,120,"2022-11-12 16:36:07","2022-11-12 17:59:58",0,0,5956F,Bangarang,"Timber Creek High School","Florida - North/Central","United States"
99,227,81,146,83,147,"2022-11-20 02:12:34","2022-11-12 07:43:34",0,0,96969Y,PAS1,"Pacific American School","Chinese Taipei",Taiwan
100,227,78,149,78,149,"2022-12-04 22:06:24","2022-12-04 21:49:13",17,0,2496J,"BHS Robopatties J","Arnold O. Beckman High School","California - Region 4","United States"
101,227,76,151,76,151,"2022-12-16 16:20:05","2022-12-16 20:02:50",6,0,8682N,Nighthawks,"Newton College and Career Academy",Georgia,"United States"
102,227,72,155,72,155,"2022-11-13 19:26:52","2022-11-13 22:53:27",38,0,334Z,"Supernova ZZZZZZzzzz……","SCIENCE ACADEMY STEM MAGNET","California - Region 4","United States"
103,226,87,139,101,147,"2022-11-19 20:49:42","2022-12-04 18:59:58",0,0,507A,"Mustang Robotics","Otay Ranch High School","California - Region 4","United States"
104,226,77,149,77,149,"2022-12-17 20:23:35","2022-12-17 19:27:40",0,0,87867V,Velocity,"AI & Robotics Academy LLC","Texas - Region 2","United States"
105,225,76,149,97,149,"2022-12-02 19:02:41","2022-12-17 17:26:57",18,0,9364A,"Iron Eagles - AJAX","Brentwood Academy",Tennessee,"United States"
106,225,85,140,85,140,"2022-12-16 18:10:56","2022-12-16 19:38:46",0,0,248A,"RoboDawgs: Vulcan","Grandville Robotics",Michigan,"United States"
107,225,75,150,75,150,"2022-12-17 19:08:51","2022-12-17 19:59:30",0,0,1233W,"1233 Whiplash","CROWN POINT HIGH SCHOOL",Indiana,"United States"
108,223,108,115,108,125,"2022-12-10 17:56:08","2022-11-19 19:21:11",0,0,197D,Daedalus,"Harriton Senior High School","Pennsylvania - East","United States"
109,223,70,153,70,153,"2022-12-17 18:11:19","2022-12-17 18:24:14",0,0,6008N,RNA,"NORTH UNION HIGH SCHOOL",Ohio,"United States"
110,222,97,125,97,125,"2022-10-29 21:00:02","2022-10-29 17:31:09",2,0,2114R,"Rubberband Robotics","Branches Homeschool Co-op",Arizona,"United States"
111,222,84,138,84,138,"2022-12-03 01:47:36","2022-12-02 07:40:42",0,0,26275A,"Curious Leopard","Curious X-Lab","Chinese Taipei",Taiwan
112,221,71,150,90,150,"2022-12-03 18:26:18","2022-10-22 17:47:22",0,0,87867D,Edison,"AI & Robotics Academy LLC","Texas - Region 2","United States"
113,221,85,136,85,136,"2022-12-10 22:05:04","2022-12-10 19:07:36",35,0,98548J,ACE,"Bear River High School",Utah,"United States"
114,220,54,166,74,166,"2022-10-16 20:43:56","2022-10-29 20:14:17",0,0,2496V,"BHS Robopatties V","ARNOLD O. BECKMAN HIGH","California - Region 4","United States"
115,220,72,148,72,148,"2022-12-17 01:51:00","2022-12-17 02:31:21",0,0,74100A,V0!D,"CONCORDIA JR/SR HIGH SCHOOL",Nebraska,"United States"
116,220,56,164,69,169,"2022-12-02 21:00:28","2022-12-17 16:13:52",0,0,2616K,"Knights of Stars","CHERRY HILL HIGH SCHOOL EAST","New Jersey","United States"
117,220,51,169,51,169,"2022-12-17 19:00:59","2022-12-17 19:51:43",0,0,1569A,OMEGA,"OMEGA Robotics","New York-South","United States"
118,219,105,114,105,114,"2022-12-10 15:38:57","2022-12-10 15:44:20",0,0,5956C,Bangarang,"TIMBER CREEK HIGH","Florida - North/Central","United States"
119,218,90,128,90,131,"2022-12-10 17:50:17","2022-12-13 00:12:54",0,0,6403A,Aces,"Brookside High School",Ohio,"United States"
120,218,79,139,87,139,"2022-12-04 15:09:15","2022-12-17 18:47:51",0,0,9421R,"Roboty McRobotface","Framingham High School","Southern New England","United States"
121,216,75,141,85,141,"2022-11-12 18:49:59","2022-10-22 18:54:38",0,0,5155A,Midnight,"CROSS COUNTY HIGH SCHOOL",Nebraska,"United States"
122,215,71,144,71,144,"2022-12-17 16:55:09","2022-12-17 19:13:20",0,0,2616W,Whiplash,"CHERRY HILL HIGH SCHOOL EAST","New Jersey","United States"
123,214,75,139,75,139,"2022-12-10 19:34:03","2022-12-10 20:39:34",23,0,7110H,"Fired Up!","CARROLL HIGH SCHOOL","Texas - Region 2","United States"
124,214,68,146,68,146,"2022-12-10 19:33:38","2022-12-10 18:25:28",0,0,6408J,"Syntechs Robotics HWSS","Heritage Woods Secondary","British Columbia (BC)",Canada
125,214,67,147,67,147,"2022-12-02 19:12:28","2022-12-02 16:44:45",43,0,4148A,Average...,"Greenville High School","Texas - Region 2","United States"
126,214,62,152,62,152,"2022-12-03 20:00:31","2022-12-03 18:29:38",3,0,99904W,Wooosh,"NEW PALESTINE HIGH SCHOOL",Indiana,"United States"
127,214,44,170,61,170,"2022-09-05 04:43:12","2022-12-03 23:44:05",0,0,1002T,"[ ʟᴇᴛʜᴀʟ ᴘʀᴇꜱᴇɴᴄᴇ ]","Templestowe College",Australia,Australia
128,213,70,143,80,143,"2022-11-19 14:46:31","2022-10-22 14:52:58",0,0,8481X,"Bridger Bot","Bridger Robotics",Montana,"United States"
129,213,79,134,79,134,"2022-12-03 20:26:32","2022-12-03 20:06:48",0,0,50810C,"Iron Jags","CITY/PEMBROKE PINES CHARTER HIGH SCHOOL","Florida - South","United States"
130,212,76,136,76,136,"2022-12-17 17:57:41","2022-12-17 19:15:08",0,0,71909X,"TESLA MODEL X","Baton Rouge Magnet High School",Louisiana,"United States"
131,212,58,154,58,154,"2022-12-10 18:38:01","2022-12-10 21:10:57",37,0,2654P,"Pronounce This","Longmont High School",Colorado,"United States"
132,212,54,158,57,158,"2022-10-29 21:23:44","2022-12-03 19:10:03",30,0,99067B,"Nano Jagwires","DESERT RIDGE HIGH",Arizona,"United States"
133,212,54,158,54,158,"2022-12-17 19:11:17","2022-12-17 19:19:23",0,0,7405K,"Millburn Kinetic","Millburn High School","New Jersey","United States"
134,212,43,169,43,169,"2022-12-17 02:08:01","2022-12-17 02:31:45",35,0,5069Z,"Time Well SPINt","Millard North High School",Nebraska,"United States"
135,211,59,152,62,152,"2022-11-20 00:31:21","2022-10-23 02:25:22",33,0,69996W,WE,"ROBOTIC LAB","Chinese Taipei",Taiwan
136,210,98,112,98,112,"2022-12-19 00:38:23","2022-12-19 00:47:14",0,0,3583A,"Vulcan Robotics","Curiosity Spark",Washington,"United States"
137,210,89,121,89,121,"2022-10-21 23:33:21","2022-10-22 00:59:12",0,0,99060K,"Westminster Knights","WESTMINSTER SCHOOL AT OAK MOUNTAIN",Alabama,"United States"
138,210,86,124,86,124,"2022-12-17 16:39:41","2022-12-17 17:05:04",0,0,39702C,"New Hope Robotics","NEW HOPE",Mississippi,"United States"
139,210,52,158,52,158,"2022-12-10 17:34:09","2022-12-10 17:12:34",0,0,6008C,"C U Later","NORTH UNION HIGH SCHOOL",Ohio,"United States"
140,209,50,159,50,159,"2022-12-03 19:38:02","2022-12-03 19:36:48",0,0,18888A,"Heavy Metal Mush","Heavy Metal Robotics","California - Region 2","United States"
141,208,86,122,86,122,"2022-12-03 17:13:02","2022-12-03 15:41:42",0,0,1727B,REX,"DULANEY HIGH",Maryland,"United States"
142,207,89,118,89,124,"2022-11-12 16:12:50","2022-12-03 16:43:12",0,0,50075A,"Oak Hill Robotics","OAK HILL HIGH SCHOOL",Indiana,"United States"
143,206,58,148,63,148,"2022-11-19 16:57:09","2022-11-30 01:24:10",27,0,7368W,"CCHS Anxiety","Covenant Christian High School",Indiana,"United States"
144,205,81,124,81,124,"2022-12-10 15:22:16","2022-12-10 19:02:56",0,0,2501J,"Full Metal Jackets","THOMAS JEFFERSON HIGH SCHOOL",Iowa,"United States"
145,205,72,133,72,133,"2022-12-10 16:36:10","2022-12-10 20:22:46",15,0,7110A,"Fired Up!","CARROLL HIGH SCHOOL","Texas - Region 2","United States"
146,205,70,135,70,135,"2022-12-10 12:47:32","2022-12-10 13:14:11",42,0,78792E,"Mount Academy Eagles E","The Mount Academy","New York-South","United States"
147,204,77,127,77,127,"2022-12-16 17:24:23","2022-12-16 21:04:24",0,0,8110C,"Llamas with Gears","Mankato West Robotics",Minnesota,"United States"
148,203,64,139,64,139,"2022-10-15 20:37:44","2022-10-15 20:38:12",0,0,87867C,Galaxy,"AIRobotics Academy LLC","Texas - Region 2","United States"
149,203,57,146,62,152,"2022-10-29 20:09:58","2022-12-01 21:52:55",0,0,1064X,"OPS - Unknown Variable","OMAHA NORTH MAGNET HIGH SCHOOL",Nebraska,"United States"
150,203,47,156,47,156,"2022-10-22 19:27:34","2022-10-22 17:27:00",34,0,3141V,"Yoinky Sploinkey","Gross Catholic Robotics",Nebraska,"United States"
151,202,74,128,74,128,"2022-12-03 15:25:36","2022-12-03 17:18:36",31,0,3223B,"Gerard Way","WEST MICHIGAN AVIATION ACADEMY",Michigan,"United States"
152,201,77,124,77,124,"2022-11-30 21:06:59","2022-11-30 20:17:46",0,0,70700X,Kaibotics,"Kaibotics Robotics",Panama,Panama
153,201,70,131,70,131,"2022-12-17 18:29:18","2022-12-17 18:57:46",39,0,6741D,"Destroy Build Destroy","PICKERINGTON HIGH SCHOOL CENTRAL",Ohio,"United States"
154,201,61,140,61,142,"2022-12-02 06:53:06","2022-11-20 00:46:43",3,0,75226A,Pontus,"Curious VEX Robotics Lab78","Chinese Taipei",Taiwan
155,200,74,126,74,126,"2022-12-17 17:24:17","2022-12-17 14:28:00",0,0,20164X,SharX,"CHARLES J. COLGAN SR. HIGH",Virginia,"United States"
156,199,60,139,60,139,"2022-12-10 20:27:17","2022-12-10 19:24:56",0,0,7110Z,"Fired Up!","CARROLL HIGH SCHOOL","Texas - Region 2","United States"
157,198,77,121,96,121,"2022-12-10 15:39:54","2022-11-12 14:36:14",0,0,550C,"AHS Robotics","APOPKA HIGH","Florida - North/Central","United States"
158,197,67,130,67,130,"2022-12-03 20:51:45","2022-12-03 23:11:26",45,0,97934W,"RoboPanthers - Unknown Tennessee Alliance","FRANKLIN ROAD ACADEMY",Tennessee,"United States"
159,197,62,135,62,135,"2022-11-19 18:51:30","2022-11-18 22:11:17",0,0,3150A,"Silver Owl","Silver Owl Robotics Club",Ontario,Canada
160,196,62,134,80,134,"2022-11-19 15:26:41","2022-12-17 19:24:04",0,0,3141A,"In Transit","Gross Catholic Robotics",Nebraska,"United States"
161,196,69,127,69,139,"2022-11-21 22:45:22","2022-11-19 19:04:25",0,0,2373M,M&M,"CLEAR LAKE HIGH SCHOOL","Texas - Region 3","United States"
162,196,23,173,64,173,"2022-12-03 18:06:26","2022-10-22 17:01:50",29,0,9364E,"Iron Eagles - Echelon","Brentwood Academy",Tennessee,"United States"
163,196,55,141,55,141,"2022-10-15 16:50:58","2022-10-15 13:29:40",0,0,3796F,"Pay Respects","J. L. MANN HIGH ACADEMY","South Carolina","United States"
164,196,43,153,43,153,"2022-12-03 15:47:46","2022-12-03 17:39:50",0,0,6842C,"Cobra Kai","PARK TUDOR SCHOOL",Indiana,"United States"
165,195,89,106,89,106,"2022-12-03 18:45:05","2022-12-03 20:54:24",0,0,39313X,Off-the-Chain,"ASOTIN JR SR HIGH",Washington,"United States"
166,195,54,141,75,141,"2022-12-16 17:19:16","2022-11-19 16:31:25",0,0,8110Z,Aperture,"Mankato West Robotics",Minnesota,"United States"
167,195,74,121,74,128,"2022-11-19 17:09:39","2022-12-03 17:33:58",2,0,66475C,"Ex Machina",Private,Washington,"United States"
168,195,74,121,74,122,"2022-11-19 22:46:57","2022-12-17 19:46:42",0,0,359B,"Hawaiian Kids","Waialua High & Intermediate School",Hawaii,"United States"
169,195,64,131,64,140,"2022-11-12 15:47:40","2022-08-12 23:04:09",0,0,2145Z,"Pink Sparklee Unicorns","i think we are pretty organized",Virginia,"United States"
170,194,78,116,78,116,"2022-12-14 23:57:24","2022-12-15 00:17:47",0,0,51401A,Nemesis,"RIVERSIDE HIGH SCHOOL","West Virginia","United States"
171,194,73,121,73,121,"2022-12-10 18:23:36","2022-12-10 20:40:13",48,2,98548F,FastBreak,"Bear River High School",Utah,"United States"
